policy_id,name,level,type,amount_usd_bn,currency_note,date_announced,horizon,target_layers,summary,source_id,confidence
fyp15,15th Five-Year Plan,national,plan,,,2026-03,2026-2030,all,Elevated AI to primary national objective; ~90% AI diffusion across economy by 2030 (~70% by 2027); advanced manufacturing + AI infra central priorities,REF-BW-01,C
dc-network-295,Nationwide AI Data Center Buildout Plan,national,fund,295,~$295bn,2026-06-09,,L6,Fund a nationwide network of interconnected data centers; >=80% of technology mandated domestic,REF-SANDS-01,C
ai-robotics-138,AI & Robotics State Fund,national,fund,138,"~¥1tn (""state venture capital guidance fund"")",2025-03,2025-2045 (20yr),L4|L9,"UPDATE to existing row: confirmed as NDRC-run state venture capital guidance fund targeting AI, robotics, quantum, hydrogen storage; expected to attract ~¥1tn (~$138bn) from local governments + private sector over 20 years. Explicit goals: accelerate humanoid robotics, smart manufacturing, AI integration.",WEB-017,C
robotics-1t,Robotics & High-Tech Investment,national,fund,,~¥1 trillion,2025-03,,L9,"UPDATE to existing row: tied to 14th FYP Robot Industry Development Plan / 2035 Vision Outline; context — China's global share of industrial robot installations rose from ~1/5 to >1/2 of world demand over the past decade (2024: 295k units installed, 54% of global total).",WEB-017,C
domestic-equip-50,50% Domestic Equipment Mandate,national,mandate,,,2025-12,"ongoing, floor toward 100% long-term",L1|L2,"UPDATE to existing row: confirmed as an informal/unpublished directive — fab-expansion approval applications are reportedly rejected if domestic-equipment spend is below 50%; case-by-case flexibility granted for advanced production lines where domestic tools are not yet adequate; officials describe 50% as a floor, with long-term goal of exclusive domestic sourcing.",WEB-018,C
euv-2028,Indigenous EUV Program,national,plan,,,,~2028,L1,"UPDATE to existing row: 2028 target should be read as a lab/prototype milestone (LDP source ~100-150W measured mid-2025, needs >250W for HVM; parallel SSMB synchrotron effort targets >1kW theoretical at Xiong'an facility) — not a volume-manufacturing parity date.",WEB-007,D
equity-pivot-0924,Equity Market Policy Pivot / 'Slow Bull',national,plan,,,2024-09-24,,K,Policy shift treating equity market as strategic; support IPOs of less-sensitive AI champions; 'slow bull' management; buybacks/governance tools,REF-BW-03,C
big-fund,National IC Industry Investment Fund ('Big Fund'),national,fund,47.5,"RMB344bn (Phase III, registered capital)",2024-05-24,multi-year,L1|L2|L3,"UPDATE to existing row: Phase III size confirmed at RMB344bn (~$47.5bn), the largest of the three phases (Phase I $21.8bn 2014; Phase II $29.08bn 2019). Mandate explicitly includes HBM and AI-semiconductor value chain alongside manufacturing/equipment/materials; no public breakdown of memory-specific allocation identified.",WEB-022,C
eda-export-ban-2025,US EDA Export Restriction on China,national (US),mandate/export-control,,,2025-05,ongoing (case-by-case licensing),L1,"BIS ordered Synopsys, Cadence and Siemens EDA to suspend software/technical support to Chinese customers in May-2025; later required case-by-case export licenses for all EDA sales to China. Catalyzed consolidation/investment in domestic EDA (Empyrean, Primarius).",WEB-011,C
entity-list-mar2025,Entity List Additions (Mar-2025 tranche),national (US),export-control,,,2025-03-28,,L1|L2,"42 PRC entities added to BIS Entity List, including Shenzhen Naura Microelectronics Equipment Co. and SMIC Advanced Technology R&D (Shanghai) Corporation, among 80 total entities across several countries.",WEB-016,C
match-act-2026,MATCH Act (H.R.8170),"national (US, proposed)",plan/export-control (pending legislation),,,2026 (in committee),,L1|L2,"Proposed US legislation to require allied-nation coordination on export controls; would ban ASML DUV shipments to China (~20% of ASML 2026 revenue) and references Hua Hong, SMIC, NAURA, AMEC, ACM Research explicitly. Not yet enacted.","WEB-012, WEB-016",C
cxmt-1260h-2026,"DoD Section 1260H ""Chinese Military Company"" Listing (CXMT)",national (US),export-control/procurement-ban,,,2026-06,procurement ban effective 2027-12-23,L3,"CXMT designated a ""Chinese military company"" under NDAA Section 1260H; bars US government procurement/use of CXMT semiconductor products/services effective 23-Dec-2027. Distinct from (and precedes) any Commerce Entity List action, which remains under inter-agency consideration as of mid-2026, reportedly delayed for diplomatic reasons.",WEB-020,C
ymtc-entity-list-2022,Commerce Entity List Addition (YMTC),national (US),export-control,,,2022-12,ongoing; YMTC litigating in federal court,L3,"YMTC added to Commerce Department Entity List Dec-2022 as part of a 36-entity tranche; remains listed and subject to export-license requirements as of mid-2026. YMTC's status on the separate Pentagon 1260H list has fluctuated within 2026 (apparently removed Feb-2026, reinstated Jun-2026) — treat as unresolved/monitor.",WEB-021,C
match-act-2026-memory,MATCH Act (H.R.8170) — memory-sector application,"national (US, proposed)",plan/export-control (pending legislation),,,2026 (in committee),,L3,"UPDATE/cross-reference to Pod 1's match-act-2026 row: the same proposed legislation would designate all CXMT chipmaking facilities as ""covered facilities,"" applying Entity-List-equivalent export, servicing and technical-support restrictions specifically to CXMT (in addition to its L1/L2 equipment-sector provisions).",WEB-020,C
china-ai-grid-2028,National AI Computing Grid Plan,national,plan/mandate,295 (up to ~740 incl. power infra),draft plan; RMB-denominated original not confirmed in reviewed sources,2026-06 (drafted/reported),2028,L0|L4|L6,Draft national plan for an AI computing grid run on 80% domestic chips; China Mobile/China Telecom to operate bulk of facilities; structurally excludes Nvidia/AMD from state-funded buildout,"WEB-020,WEB-022",C
china-dc-domestic-chip-mandate,State-funded Data Center Domestic Chip Mandate,national,mandate,,,2025-08 (50% rule) escalated 2025-11 (full ban),ongoing,L4|L6,"Aug 2025: state-funded DCs required to source ≥50% chips domestically. Nov 2025: escalated to full ban on foreign accelerators in state-funded projects, including retrofit removal from <30%-complete builds. May 2026: 9 categories of domestic AI chips (Huawei, Alibaba, Biren, Moore Threads) cleared security review for gov/security-sensitive deployment","WEB-020,WEB-021",C
us-h200-china-conditional-export,H200 Conditional Export Policy,national (US),mandate/plan,,25% export tax on approved sales,2025-12 (Trump approval),"ongoing, case-by-case BIS licensing",L4,"H200 sales to China approved conditionally: 25% export tax, capped at ≤50% of total H200 units sold to US customers, BIS case-by-case license review; excludes current Blackwell/upcoming Rubin GPUs; by 2026-05, 10 China firms cleared for H200 purchase","WEB-016,WEB-015",B
us-entity-list-2023-chip-additions,Entity List Additions — Chinese AI Chip Firms,national (US),mandate,,,2023-10-19,ongoing,L4,"13 Chinese entities added to US Entity List for advanced computing chip development, including Biren (multiple subsidiaries) and Moore Threads (multiple subsidiaries); bars access to advanced US foundries/EDA",WEB-043,A
china_national_dc_grid,National AI Data-Center Grid (NDRC),national,plan,295,~RMB 2 trillion,2026-06-09 (Bloomberg report of draft),5-yr investment window to ~2031; grid completion ~2028,L6,"NDRC draft plan to connect thousands of data centers into a unified national computing grid; mandates ≥80% domestic-sourced technology incl. AI accelerators (favoring Huawei et al.), squeezing out Nvidia/AMD; state operators (China Mobile, China Telecom) to run bulk of DCs; builds on earlier ""East Data West Compute"" spatial initiative","WEB-411, WEB-412",C
ai_plus_diffusion_targets,"""AI Plus"" Initiative diffusion targets",national,plan,,,2025-08 (State Council opinion); reinforced 2026-01 (AI Plus Manufacturing),2027 / 2030 / 2035,L7|L8,"Targets next-gen intelligent application/agent adoption >70% by 2027, ~90% by 2030, ""ubiquitous"" by 2035; sector plans (AI Plus Manufacturing) and SOE pilot cohorts (Baosteel, XCMG, Haier — 15 ""pioneer"" smart factories, >70% AI-scenario coverage, 6,000+ deployed AI models) operationalize the targets; treated by analysts as directional signaling rather than hard KPIs","WEB-436, WEB-437, WEB-438",C
embodied-ai-standards-2026,Humanoid Robot & Embodied Intelligence Standardization Program,national,standard,,,2025-12 (committee est.) / 2026-03 (first standards released),2026-2030,L9,New policy: MIIT established dedicated Humanoid Robot and Embodied Intelligence Standardization Technical Committee (Dec-2025); released first national standard system covering the humanoid robot industry's full lifecycle (Mar-2026). China is leading IEC global standard formulation for elder-care robots and shaping international norms for robot safety/interoperability/data governance — a moat-by-standardization strategy.,WEB-018,C
green-dc-pue-2025,Special Action Plan for Green and Low-Carbon Development of Data Centers,national,mandate,,,2024-07 (plan) / 2025 (formalized 80% rule),2025-2030,L0|L6,"New policy: targets average PUE ≤1.25 for new/upgraded large data centers (vs. national avg ~1.48 in 2023); mandates ≥80% renewable electricity sourcing for all new data centers as of 2025 (raised from a lower/optional threshold), with national computing-hub-region facilities also targeted for 80% renewable share by 2030.",WEB-023,B
15fyp-nuclear-target,15th Five-Year Plan Nuclear Capacity Target,national,plan,,,2026-03,2026-2030 (2035 longer-term),L0,"New policy: 15th FYP targets 110GWe nuclear capacity by 2030 (from ~63GW operating in 2026), with a longer-term goal of 200GW by 2035. 36 reactor units under construction as of 2026 — half of global under-construction nuclear capacity.",WEB-019,C
edwc-siting,East-Data-West-Compute (东数西算),national,plan,33,~CNY239bn documented investment,2022 (launched) / ongoing 2026,2022-2030,L0|L6,"UPDATE/new detail: 8 national computing hub nodes (5 western: Ningxia, Inner Mongolia, Gansu, Chengdu-Chongqing, Guizhou; 3 eastern: Beijing-Tianjin-Hebei, Yangtze River Delta, Greater Bay Area). As of 2026: 63% hub occupancy, 20ms inter-hub latency, >50,000 petaflops cluster compute at some western hubs (Qingyang, Zhongwei). Rationale: route AI-DC demand to curtailed/cheap western renewable power.",WEB-003,C
state-grid-15fyp,State Grid 15th FYP Capex Plan,national,plan,580,CNY4tn,2026-01,2026-2030,L0,"New policy: State Grid capex commitment of CNY4tn (+40% vs 14th FYP), funding 15 new UHV transmission lines (2026-2030) adding ~200GWh/yr renewable-connection capacity and +30-35% cross-provincial transmission capacity vs 2025 levels.",WEB-005,C
big-fund-1,National IC Industry Investment Fund Phase I,national,fund,22,RMB138.7bn (2014),2014,,L1|L2|L3,First phase of the Big Fund; backed early fab/equipment/memory investment,WEB-603,C
big-fund-2,National IC Industry Investment Fund Phase II,national,fund,29,RMB204bn (2019),2019,,L1|L2|L3,"Second phase; broadened scope across equipment, materials, memory",WEB-603,C
big-fund-3,National IC Industry Investment Fund Phase III,national,fund,47.5,RMB344bn (2024),2024-05-24,,L1|L2|L3,"Third phase, largest to date; six state banks contributed RMB114bn (33.14% stake)",WEB-604,C
ai-plus-2025,Artificial Intelligence+ Initiative,national,plan,,,2025-08-26,2025-2035,all,"State Council Opinion [2025] No.11; targets >70% penetration of new-gen smart terminals/agents by 2027, >90% by 2030, full 'intelligent economy' by 2035",WEB-610,B
soe-ai-mandate-2027,SOE AI-Adoption Mandate,national,mandate,,,2025,2027,all,Mandated AI integration across state-owned enterprises; ~70% AI penetration target across key industrial sectors by 2027,WEB-609,D
provincial-compute-vouchers,Provincial/Municipal Computing-Power Vouchers,provincial,subsidy,,Shanghai ~RMB600m + RMB100m (2025-26),2024-2026,,L6|L7,"Beijing, Shanghai, Shenzhen, Henan, Shandong, Chengdu, Ningbo issue vouchers covering up to 80% of AI compute-rental costs for SMEs, plus data/LLM-training subsidies",WEB-611,C
star-5th-standard-2026,STAR Market Fifth Listing Standard Extension,national,standard,,,2026-06-17,,L4|L7,Extends pre-profit IPO access to large-model developers and quantum-tech firms; requires ~$591m market cap and government approval of core technology,WEB-631,C
us-hbm-fdpr-controls-2024,HBM & FDPR/SME Export Control Expansion,national,mandate,,,2024-12-02,,L3|L1,US BIS: first-ever country-wide HBM controls (>2GB/mm2 density); new Footnote-5 and SME Foreign Direct Product Rules extending US jurisdiction to non-US-made SME destined for China; ~140 entities added,WEB-616,B
us-h200-caseby-case-2026,H200/MI325X Case-by-Case Export Review,national,mandate,,,2026-01-15,,L4,"US BIS shifts H200/MI325X China export license review from presumption-of-denial to case-by-case, 25% tariff, subject to security conditions",WEB-624,B
china-rare-earth-suspension-2025,Rare-Earth/Gallium/Germanium Export-Control Suspension,national,mandate,,,2025-11-07,2026-11 (1yr),macro,"China suspends (not repeals) export controls on rare earths, gallium, germanium, antimony, superhard materials toward the US as part of the Busan trade truce",WEB-622,C
us-oisp-outbound-investment,US Outbound Investment Security Program,national,mandate,,,2025-01-02,ongoing,all,"Treasury final rule restricting/screening US investment into Chinese AI, semiconductor, and quantum entities; broadened by Dec-2025 NDAA/COINS Act to add sectors (HPC, supercomputing, hypersonics) and countries",WEB-635,A
