source_id,type,title,author_org,date,url_or_locator,notes
REF-BW-01,reference-report,China's Accelerating Indigenous AI Capex Build-Out,Bridgewater Associates,2026-05-05,observatory.bwater.com,"Choke-point map, compute GW accounting, basket valuation"
REF-BW-02,reference-report,China's AI Build-Out and a Shift in Global Equity Valuations,Bridgewater Associates,2026-05-10,observatory.bwater.com,US vs non-US valuation convergence; mercantilism
REF-BW-03,reference-report,Why China Is at the Center of AI and Modern Mercantilism,Bridgewater Associates,2026-07-02,observatory.bwater.com,AI-as-infrastructure doctrine; investability; uneven economy
REF-SANDS-01,reference-report,The Stack That China Built,Sands Capital,2026-06-26,sandscapital.com,Stack taxonomy; AMEC/NAURA/Montage/Alibaba cases; 5 moments
REF-EV-01,reference-report,The State of the AI Economy,Exponential View,2026-06-25,exponentialview.co,Global ex-China benchmark; Demand/Economy/CapEx/Tokens/Stack; unit economics
WEB-001,news/analyst (aggregated),China vs US electricity generation 2024-2025,Visual Capitalist / Voronoi / Our World in Data / Brookings,2026,visualcapitalist.com; voronoiapp.com; ourworldindata.org; brookings.edu,"China >10,000 TWh (2024) vs US ~4,600 TWh; China added ~500 TWh in 2025."
WEB-002,analyst,China's data center capacity set to top 60 GW by 2030,Rystad Energy,2026,rystadenergy.com/news/chinas-data-center-capacity-doubling-of-power,DC capacity 32GW(2025)→40GW(2026E)→60GW(2030E); AI/HPC share 39%→48%.
WEB-003,news/analyst,How is China's Eastern Data Western Compute developing?,Sinocities (Substack),2026,sinocities.substack.com,"63% hub occupancy, 20ms latency, CNY239bn invested."
WEB-004,news,China curtails more renewables as record additions stress grid,Bloomberg / Energy Connects,2025-04 / 2026,bloomberg.com/news/articles/2025-04-02; energyconnects.com,Solar/wind curtailment Jan-Feb 2026: 9.2%/8.5%.
WEB-005,news/analyst,China's State Grid plans US$580bn power grid upgrade by 2030,Enerdata,2026-01,enerdata.net/publications/daily-energy-news,CNY4tn 15FYP capex; 15 new UHV lines.
WEB-006,news/analyst (aggregated),CATL 2025 annual results / ESS revenue,China Biz Insider / Discovery Alert / ESS News / Invezz,2026,chinabizinsider.com; discoveryalert.com.au; ess-news.com; invezz.com,Combined mkt cap ~$420bn; ESS revenue RMB62.4bn; 121GWh shipped.
WEB-007,analyst,AI Datacenter Energy Dilemma / US-China power ceiling analysis,SemiAnalysis / TaoApex / IEEE ComSoc,2026,newsletter.semianalysis.com; taoapex.com; techblog.comsoc.org,"China power abundance vs US ""power ceiling"" — 44GW US shortfall (Morgan Stanley)."
WEB-008,news,Unitree Robotics STAR Market IPO approval and valuation,Caixin Global / KraneShares,2026-05/07,caixinglobal.com; kraneshares.com,IPO approved in 104 days; target valuation $5.9-6.2bn; 2025 revenue RMB1.69bn (+335%).
WEB-009,market data (aggregated),UBTech Robotics (HKEX:9880) financials and U1 product data,Yahoo Finance / Simply Wall St / AAStocks,2026-07,finance.yahoo.com; simplywall.st; aastocks.com,"2026 revenue forecast raised to CNY3.69bn; U1 orders >13,361."
WEB-010,news,Horizon Robotics 2025 annual results,BigGo Finance,2026,finance.biggo.com,2025 revenue RMB3.758bn (+57.7%); net loss RMB10.469bn.
WEB-011,data provider (aggregated),AgiBot / Zhiyuan Robotics company profile,Getlatka / Tracxn / PitchBook / Dealroom,2026-07,getlatka.com; tracxn.com; pitchbook.com; dealroom.co,Valuation ~$6.4bn; HK IPO planned H2-2026.
WEB-012,news,Galbot and Fourier Intelligence funding rounds,PR Newswire / Robotics and Automation News / PitchBook,2025-12 / 2025-05,prnewswire.com; roboticsandautomationnews.com; pitchbook.com,Galbot $3bn valuation; Fourier $1.1bn pre-money.
WEB-013,news,Baidu Apollo Go robotaxi scale and expansion,CnEVPost,2026,cnevpost.com,>22m cumulative rides; 27 cities; South Korea/UK/Switzerland expansion.
WEB-014,filing/news,Pony.ai Q1 2026 results and fleet targets,Pony.ai IR / Bloomberg / Electric Cars Report,2026-03/05,ir.pony.ai; bloomberg.com; electriccarsreport.com,"Q1 revenue $34.3m (+145%); fleet target 3,500."
WEB-015,news/market data,WeRide Q1 2026 results and market cap,StockTitan / Benzinga / WallStreetZen,2026-05,stocktitan.net; benzinga.com; wallstreetzen.com,Mkt cap $2.44bn; Q1 revenue $16.5m (+58%).
WEB-016,news/filing,Momenta HKEX:6880 IPO and Hong Kong trading debut,CnEVPost / CNBC / HKEXnews,2026-06/07,cnevpost.com; cnbc.com; hkexnews.hk,IPO raised $751m at $9bn valuation; debuted 8-Jul-2026.
WEB-017,news/gov,China's $138bn AI & Robotics State Fund; ¥1tn robotics/high-tech program,CNN Business / IFR / The AI Insider / RAND,2025-03,cnn.com; ifr.org; theaiinsider.tech; rand.org,"NDRC state venture capital guidance fund, ~¥1tn over 20yrs."
WEB-018,analyst/gov,China's 15th FYP physical-AI/embodied-intelligence policy and standards,The Diplomat / Merics / Six Degrees of Robotics / SCIO,2026,thediplomat.com; merics.org; sixdegreesofrobotics.substack.com; english.scio.gov.cn,MIIT Humanoid Robot Standardization Committee; national standards Mar-2026.
WEB-019,analyst/industry,China nuclear power buildout status and targets,World Nuclear Association / NucNet / SCMP,2026,world-nuclear.org; nucnet.org; scmp.com,60 reactors operating (~63GW); 36 under construction; 110GW target by 2030.
WEB-020,analyst (aggregated),China 2025 electricity generation mix by source,Low Carbon Power / Ember / IEA,2025-2026,lowcarbonpower.org; ember-energy.org; iea.org,"Coal 55%, hydro 14%, solar 12%, wind 10%, nuclear 4.5%."
WEB-021,analyst (aggregated),US data-center power demand forecasts and grid shortfall,WRI / Morgan Stanley / Goldman Sachs / Grid Strategies,2026,wri.org; morganstanley.com; goldmansachs.com,31GW(2025)→41GW(2026E)→66GW(2027E)→74GW(2028E); ~49GW shortfall forecast.
WEB-022,analyst (aggregated),Global humanoid-robotics valuation landscape 2026,ValueAddVC / 24/7 Wall St / Meta Intelligence,2026,valueaddvc.com; 247wallst.com; meta-intelligence.tech,Figure ~$39bn; 1X ~$10bn; Apptronik ~$5.5bn; Unitree ~$1.3-6bn depending on measure.
WEB-023,gov/news,China green data-center PUE and renewable-sourcing policy,China Government (english.www.gov.cn) / ACT Group / Carbon Brief,2024-07 / 2025-2026,english.www.gov.cn; actgroup.com; carbonbrief.org,PUE ≤1.25 target; ≥80% renewable sourcing mandate for new data centers (2025).
WEB-024,news/gov,China 2025 wind and solar installed capacity records,Ecowatch / PVknowhow / Yicai Global / Global Energy Monitor,2026,ecowatch.com; pvknowhow.com; yicaiglobal.com; globalenergymonitor.org,"1,840GW total wind+solar; +430GW added in 2025; surpassed thermal capacity."
WEB-025,analyst,China vs US/EU industrial electricity prices,IEA Electricity 2026 report / Statista,2026,iea.org/reports/electricity-2026; statista.com,China industrial electricity cheaper than US/EU on a national-average basis; wide provincial variation.
WEB-026,blog,What Is openPangu 2.0? First Frontier Model Trained Without NVIDIA,andrew.ooo,2026-06,https://andrew.ooo/answers/what-is-openpangu-2-huawei-nvidia-free-june-2026/,openPangu 2.0 claim
WEB-027,analyst,Can Huawei Take On Nvidia's CUDA?,ChinaTalk,2026,https://www.chinatalk.media/p/can-huawei-compete-with-cuda,CANN/MindSpore ecosystem maturity; GLM-5 claim
WEB-028,news,DeepSeek research suggests Ascend 910C delivers 60% of H100 inference performance,Tom's Hardware,2025-2026,https://www.tomshardware.com/tech-industry/artificial-intelligence/deepseek-research-suggests-huaweis-ascend-910c-delivers-60-percent-nvidia-h100-inference-performance,910C benchmark
WEB-029,blog,Huawei Ascend 910C vs NVIDIA H100,NexGen Compute,2025-2026,https://www.nexgen-compute.com/blog/huawei-ascend-910c-vs-nvidia-h100-ai-chip-comparison,"Jensen Huang ""H200-comparable"" quote"
WEB-030,news,Super Micro office raided as Taiwan expands chip smuggling probe,Bloomberg,2026-06-29,https://www.bloomberg.com/news/articles/2026-06-29/super-micro-office-raided-as-taiwan-expands-chip-smuggling-probe,Smuggling investigation
WEB-031,news,China's Nvidia Black Market Prices Surge as Chip Smuggling Routes Close,Digital Citizen,2026,https://www.digitalcitizen.life/chinas-nvidia-black-market-prices-surge-as-chip-smuggling-routes-close/,Black-market pricing
WEB-032,news,Nvidia chip shortages fuel underground market surge in China,TechBriefly,2026-06-24,https://techbriefly.com/2026/06/24/nvidia-chip-shortages-fuel-underground-market-surge-in-china/,Gray-market demand
WEB-033,news,ByteDance is reportedly developing its own custom AI CPUs,Tom's Hardware,2025-2026,https://www.tomshardware.com/tech-industry/semiconductors/tiktok-owner-bytedance-is-reportedly-developing-its-own-custom-ai-cpus-company-looks-to-ease-chinas-dependence-on-us-chipmakers,In-house ASIC project
WEB-034,news,ByteDance reportedly plans to purchase $5.6bn of Huawei's Ascend AI chips,TechNode,2025-12-29,https://technode.com/2025/12/29/bytedance-reportedly-plans-to-purchase-5-6-billion-worth-of-huaweis-ascend-ai-chips/,Ascend procurement
WEB-035,news,ByteDance to pour US$14bn into Nvidia chips in 2026,SCMP,2026,https://www.scmp.com/tech/big-tech/article/3338191/bytedance-pour-us14-billion-nvidia-chips-2026-computing-demand-surges,Parallel Nvidia procurement
WEB-036,analyst/blog,Where China's AI chip supply chain stands in 2026,The Substrate,2026,https://www.the-substrate.net/p/where-chinas-ai-chip-supply-chain,Foundry relationships (TSMC vs SMIC)
WEB-037,analyst/blog,Silicon Vanguard: Ranking China's Domestic Chip Leaders,Machine Yearning,2026,https://www.machineyearning.io/p/chinas-silicon-vanguard,"SMIC share, node comparison"
WEB-038,news,Nvidia market share in China falls to less than 60%,Tom's Hardware,2025-2026,https://www.tomshardware.com/tech-industry/nvidia-market-share-in-china-falls-to-less-than-60-percent-chinese-chip-makers-deliver-1-65-million-ai-gpus-as-the-government-pushes-data-centers-to-use-domestic-chips,Nvidia share trajectory
WEB-039,news,Nvidia CEO Jensen Huang says company now has zero market share in China,Yahoo Finance,2026,https://finance.yahoo.com/sectors/technology/article/nvidia-ceo-jensen-huang-says-company-now-has-zero-market-share-in-china-150805330.html,CEO statement
WEB-040,news,Cambricon's Trillion-Yuan Market Cap 'Day Trip',BigGo Finance,2026-07,https://finance.biggo.com/news/98bc1a60-279a-4c01-9464-05c0a704b4fa,Mkt cap peak & correction
WEB-041,market data,Cambricon Technologies Corporation (SHA:688256) Market Cap,StockAnalysis.com,2026-07-06,https://stockanalysis.com/quote/sha/688256/market-cap/,Exchange-sourced market cap
WEB-042,market data,Moore Threads (688795.SS) Market capitalization,CompaniesMarketCap,2026-07-08,https://companiesmarketcap.com/moore-threads/marketcap/,Exchange-sourced market cap
WEB-043,gov/official,Entity List Additions,US Federal Register,2023-10-19,https://www.federalregister.gov/documents/2023/10/19/2023-23048/entity-list-additions,"Official Entity List action naming Biren, Moore Threads"
WEB-044,technical/news,Biren Technology Unveils BR100 7nm HPC GPU with 77 Billion Transistors,TechPowerUp,"2022 (specs, still current design)",https://www.techpowerup.com/297619/biren-technology-unveils-br100-7-nm-hpc-gpu-with-77-billion-transistors,BR100/BR104 specs
WEB-045,news,China-made Moore Threads AI GPUs used for LLM training,Tom's Hardware,2025-2026,https://www.tomshardware.com/pc-components/gpus/china-made-moore-threads-ai-gpus-used-for-three-billion-parameter-llm-training-mtt-s4000-appears-competitive-against-unspecified-nvidia-solutions,MTT S4000/S5000 specs
WEB-401,analyst,Alibaba holds wide lead in China's AI cloud market,Ainvest/SCMP/Omdia data,2025-09 / 2026,ainvest.com/news/alibaba-leads-china-ai-cloud-market-35-8-share-outpacing-rivals-bytedance-huawei-tencent-2509,"35.8% H1-25, extended to ~38.1% 2026"
WEB-402,news,Alibaba's Cloud and AI Momentum Accelerates,MarketChameleon,2026-05-14,marketchameleon.com/articles/b/2026/5/14/alibaba-cloud-ai-revenue-growth-investment-strategy-2026,38% YoY cloud growth
WEB-403,news,Huawei's cloud computing revenue dropped in 2025,CNBC,2026-03-31,cnbc.com/2026/03/31/huawei-annual-report-2025-cloud-computing-revenue.html,17% overall cloud-infra share; -3.5% ext revenue
WEB-404,news,Huawei braces for $12 billion in AI chip revenue,Tom's Hardware,2026,tomshardware.com/tech-industry/huawei-expects-12-billion-in-ai-chip-revenue-this-year-as-nvidias-china-market-share-hits-zero,+60% YoY AI-chip revenue est.
WEB-405,analyst,Omdia cloud infra spending +26% Q4 2025,Omdia,2026-04,omdia.tech.informa.com/pr/2026/apr/mainland-china-cloud-infrastructure-spending-rises-26percent-in-q4-2025,
WEB-406,news,DeepSeek raises $7.4bn at $50bn-plus valuation,The Information (via Silicon Republic),2026,siliconrepublic.com/business/the-information-deepseek-raises-7-4bn-at-50bn-plus-valuation,
