metric_id,entity,layer,metric_name,unit,period,value,source_id,confidence,notes
china_compute_total_gw,China,C,Total compute accessible to Chinese AI firms,GW,2026,3.8,REF-BW-01,D,Incl. capacity housed abroad; wide range
china_inference_gw,China,C,Compute available for inference,GW,2026,2.5,REF-BW-01,D,~60-70% of 3.8GW allocated to inference
china_inference_share,China,C,Share of compute to inference,%,2026,65,REF-BW-01,D,Range 60-70%
china_aichips_produced,China,L4,Domestic AI chips produced,units-m,2026,2,REF-SANDS-01,C,vs demand >5m
china_aichips_demand,China,L4,Domestic AI chip demand,units-m,2026,5,REF-SANDS-01,C,>5m units
allies_aichips_consumed,US+allies,L4,AI chips consumed,units-m,2026,12,REF-SANDS-01,C,~12m units/yr
smic_advanced_yield_low,smic,L2,Advanced-node yield (low),%,2026,20,REF-BW-01,C,20-46% range on advanced nodes
smic_advanced_yield_high,smic,L2,Advanced-node yield (high),%,2026,46,REF-BW-01,C,
tsmc_advanced_yield,tsmc,L2,Advanced-node yield,%,2026,80,REF-BW-01,C,>80%
china_genai_users,China,L8,Generative AI users,users-m,2026,602,REF-SANDS-01,C,All served by domestic platforms; (BW cites 515m elsewhere)
doubao_dau,bytedance,L8,Doubao daily active users,DAU-m,2025,100,REF-BW-01,C,Crossed 100m late-2025
qwen_dau,alibaba,L8,Qwen daily active users (peak),DAU-m,2026,60,REF-BW-01,D,50-70m peak
yuanbao_dau,tencent,L8,YuanBao daily active users (peak),DAU-m,2026,60,REF-BW-01,D,50-70m peak
chatgpt_dau,openai,L8,ChatGPT daily active users,DAU-m,2026,190,REF-BW-01,C,Global consumer leader (benchmark)
openrouter_china_share,China,L7,Chinese-model share of OpenRouter tokens,%,2026,33,REF-BW-01,C,~1/3 from Moonshot/DeepSeek/MiniMax/Z.ai/Qwen
alibaba_cloud_share,alibaba,L6,Alibaba China AI cloud market share,%,2025,35.8,REF-SANDS-01,B,Omdia 1H25 via Alibaba filing
alibaba_cloud_growth,alibaba,L6,Alibaba Cloud revenue growth YoY,%,2025-Q3,26,REF-SANDS-01,B,Quarter ended Sep-30-2025
china_memory_fabs_2030,China,L3,Planned memory fabs by 2030,count,2030,10,REF-BW-01,D,As many as 10
cxmt_dram_share,cxmt,L3,Global DRAM share,%,2026,5,REF-BW-01,C,~5%
huawei_cluster_processors,huawei,L5,Processors linked in single logical machine,count,2026,8192,REF-BW-01,C,Optical interconnect plan for 2026
china_gdp_growth_target,China,macro,Headline GDP growth target,%,2026,4.5,REF-BW-03,C,~half of high-growth-era pace
china_ai_diffusion_target_2027,China,L8,AI diffusion across economy target,%,2027,70,REF-BW-01,C,15th FYP interim
china_ai_diffusion_target_2030,China,L8,AI diffusion across economy target,%,2030,90,REF-BW-01,C,15th FYP
global_genai_revenue_runrate,Global-ex-China,macro,GenAI economy revenue run-rate,usd-bn,2026,175,REF-EV-01,B,Deduplicated; global ex-China (benchmark)
global_hyperscaler_capex_cum,Global-ex-China,L6,Hyperscaler+neocloud cumulative CapEx,usd-bn,2026,2000,REF-EV-01,B,$2T through 2026E (benchmark)
global_token_volume,Global,L7,Inference tokens processed,quadrillion-per-mo,2026,30,REF-EV-01,C,Incl. China; growing 14x YoY
dc_cost_per_gw_year,Global,L6,Cost to own+operate 1GW AI capacity,usd-bn-per-yr,2026,7.9,REF-EV-01,C,Unit-economics benchmark
china_wfe_vendor_global_share,China (NAURA+AMEC+ACM+Hwatsing+Piotech+Kingsemi),L1,Collective share of global WFE market,%,2025,6.5,WEB-010,C,Up from 5.6% (2024) and 1.2% (2021). Global WFE market sized at $41.4bn (2025).
china_equip_selfsufficiency,China,L1,Overall semiconductor equipment self-sufficiency,%,2026-01,35,WEB-009,C,Milestone figure per industry tracker.
china_wfe_etch_selfsuff,China,L1,Etch equipment self-sufficiency,%,2026,55,WEB-009,D,Range 50-60%; midpoint used. AMEC CCP etch qualified in TSMC N5/N7 lines; NAURA ICP etch qualified at SMIC 14nm.
china_wfe_deposition_selfsuff,China,L1,Deposition equipment self-sufficiency,%,2026,25,WEB-009,D,Range 20-30%; midpoint used. Weakest major WFE sub-segment.
china_wfe_clean_selfsuff,China,L1,Cleaning equipment self-sufficiency,%,2026,55,WEB-009,D,Range 50-60%; midpoint used.
china_eda_foreign_share,China,L1,Synopsys+Cadence+Siemens EDA share of China market,%,2024,79,WEB-019,C,Range cited 78-80%; midpoint used.
empyrean_fullprocess_penetration,empyrean,L1,Full-process EDA tool penetration among domestic fabless,%,2026,35,WEB-011,C,Up from ~13% in 2020 (+22pp).
smic_advanced_yield_est,smic,L2,Advanced-node yield (independent cross-check),%,2026,35,WEB-014,C,"Range 30-40% cited across multiple analyst estimates; corroborates existing seed row smic_advanced_yield_low/high (20-46%, REF-BW-01)."
smic_duv_cost_penalty,smic,L2,Cost-per-wafer penalty vs TSMC N3 (DUV multipatterning),x-multiple,2026,2.5,WEB-014,C,Range 2-3x; midpoint used.
smic_duv_throughput_penalty,smic,L2,Throughput penalty vs EUV-based process,x-multiple,2026,30,WEB-014,C,~34 lithography steps (DUV/SAQP) vs 9 (EUV).
smic_capex_2026,smic,L2,Annual capital expenditure guidance,$bn,2026,8.1,WEB-013,C,vs $7.5bn in 2025.
smic_mature_capacity_target,smic,L2,New 28nm+ wafer-start capacity under construction (4 fabs),wpm,2026,340000,WEB-013,C,"Shanghai Lin-Gang, Shenzhen, Beijing, Tianjin fabs; mostly mature-node, not advanced-node."
asml_duv_revenue_share,asml,L1,Share of ASML 2026 revenue from China-permitted DUV sales,%,2026,20,WEB-012,C,"At risk under proposed MATCH Act (H.R.8170), which would ban all ASML DUV shipments to China."
tsmc_cowos_capacity_2026,tsmc,L2,CoWoS advanced-packaging capacity,wpm,2026,125000,WEB-015,C,"Expanding from ~80,000 wpm; midpoint of 120-130k range used. Nvidia ~60% of allocation."
china_packaging_gap_years,China,L2,Advanced-packaging capability gap vs. global frontier,years,2025,3,WEB-015,D,Narrowed from ~5 years (2022) estimate.
sicarrier_valuation,sicarrier,L1,Company valuation,$bn,2025-09,9,WEB-008,D,"~RMB65bn; single-sourced, unlisted, unaudited."
sicarrier_revenue_path,sicarrier,L1,Ex-lithography revenue (projected),RMB-bn,2026,7.5,WEB-008,D,Projected path: 4.5 (2025E) → 7.5 (2026E) → 16.9 (2028E).
cxmt_ipo_valuation_target,cxmt,L3,Post-listing valuation guidance (midpoint of CNY2-3tn range),$bn,2026-Q2,350,WEB-001,D,"Range CNY2-3tn (~$280-420bn); up from ~$42bn Jan-2026 estimate — wide dispersion, treat as indicative pre-listing guidance only."
cxmt_q1_2026_revenue,cxmt,L3,Quarterly revenue,$bn,2026-Q1,7.1,WEB-001,C,"RMB50.8bn; net profit RMB24.76bn (~$3.5bn), +1688% YoY."
cxmt_fab_utilization,cxmt,L3,Fab capacity utilization,%,2026-Q1,95.7,WEB-001,C,
cxmt_dram_yield_g3,cxmt,L3,"DDR5 (G3, ~17.5nm) manufacturing yield",%,2026,80,WEB-002,C,Considered a mature yield figure by industry sources.
cxmt_dram_share_global,cxmt,L3,Global DRAM market share,%,2026,7.7,WEB-019,C,"UPDATE to existing seed row (cxmt_dram_share, 5%, REF-BW-01) — more recent cross-source figure is 7.7%, #4 globally behind Samsung (40.5%), SK hynix (29.6%), Micron (19.9%)."
ymtc_nand_share_global,ymtc,L3,Global NAND market share,%,2026,14.5,"WEB-004, WEB-019",C,Range cited 13-16%; midpoint used. World's #3-4 NAND supplier.
ymtc_ipo_valuation_low,ymtc,L3,IPO/listing valuation (conservative estimate),$bn,2026-05,44,WEB-004,C,RMB300bn (Guosheng Securities); the low end of a very wide (RMB300bn-3tn) estimate range.
ymtc_phase3_dram_allocation,ymtc,L3,Share of new Phase-3 capacity allocated to DRAM,%,2026,50,WEB-005,C,Balance remains NAND. TSV/hybrid-bonding HBM packaging under development via XMC subsidiary.
china_memory_capacity_add_2026,China,L3,Incremental memory wafer capacity addition,wafers/month,2026,130000,WEB-006,C,"UBS estimate; range 120-140k wpm, midpoint used. Further growth expected 2027."
cxmt_hbm3_target_year,cxmt,L3,HBM3 mass-production target (slipping),year,2026,2026,WEB-003,D,"As of Apr-2026, low yields/thermal issues have pushed effective mass production toward 2027; 12-layer (HBM3E-class) now targeted 2027."
montage_memory_interface_share,montage,L5,Global memory-interface chip market share,%,2025,36.8,WEB-011,C,"UPDATE to existing seed framing (""~1/3 share"") with precise 2025 figure."
montage_fy2025_revenue,montage,L5,Annual revenue,RMB-bn,2025,5.456,WEB-011,C,"+50% YoY. Net profit RMB2.236bn, +58% YoY. Gross margin 62.2% (interconnect segment 65.6%)."
montage_new_products_growth,montage,L5,Revenue growth of MRCD/MDB+PCIe Retimer+CKD+CXL MXC family,% YoY,2026-Q1,93.8,WEB-009,B,"RMB269m in Q1-2026, ~19% of interconnect revenue."
montage_pcie_retimer_shipments,montage,L5,Cumulative PCIe Retimer shipments,units,2026,1000000,WEB-009,B,"""Exceeding one million""; Montage is 1 of 2 scaled global PCIe 5.0 Retimer suppliers."
montage_hk_ipo_discount,montage,L5,HK IPO price discount to prior A-share close,%,2026-02-05,44,WEB-007,C,"HK priced at HK$106.89 vs A-share close CNY170.90 prior day — a discount, not the ~30% premium referenced in the pod brief; note as a correction."
montage_hk_debut_pop,montage,L5,HK share price change on trading debut,%,2026-02-09,64,WEB-007,C,Closed at HK$175 on debut day.
huawei_atlas950_superpod_npus,huawei,L5,Max NPUs per SuperPoD (Atlas 950),count,2026-Q4,8192,WEB-012,C,"Ascend 950DT NPUs; via UnifiedBus/UB-Mesh, all-optical."
